gene_name,log2FoldChange,neg_log_q
RP11-35N6.1,2.458587703,6.179798541
ITGB6,2.450483692,2.817565659
SERPINB5,2.44889414,6.688246139
SLC6A14,2.44186947,4.386158178
CTD-3080F16.3,2.437374381,2.487005066
C4BPB,2.431415221,5.43062609
KCNH8,2.426305421,4.76700389
SVOPL,2.422663995,2.960939013
FAM83B,2.420970775,5.427128398
BLK,2.414417674,4.4867824
EHF,2.401776154,4.107348966
AC004863.6,2.401413216,5.061480275
TRIM29,2.401321356,6.759450752
SOX11,2.398543332,2.899996692
DACT2,2.393272142,3.170791461
RP11-489O18.1,2.389702744,2.003657569
LINC00494,2.389387387,2.577446271
AC087393.1,2.381583442,2.341309249
FAT2,2.380191925,6.603800653
ZNF683,2.379713864,1.535618935
C8orf47,2.378040851,1.825205306
USH1C,2.376315915,1.982421587
BCL11A,2.374406932,6.790484985
NKX2-8,2.373051013,1.988471466
GLYATL2,2.371971441,3.407483493
FOXI1,2.355955717,2.742936351
PLCH1,2.350209031,5.15490196
MUC16,2.349607884,4.482804102
PLA2G2D,2.345513933,1.402546661
AC008687.1,2.343019978,1.784651816
LYPD6B,2.334115826,2.569938496
SLC35F3,2.331271078,6.064996849
RP1-45C12.1,2.330487889,1.682747883
C10orf81,2.326957576,3.385973299
RP11-845M18.6,2.323369553,3.86429503
SCML4,2.32225278,2.689382085
DMBT1,2.318719407,1.344617074
PLD4,2.317924416,2.149956314
CTD-2314B22.3,2.316378034,6.661543506
FAM177B,2.316053126,4.26520017
ADH4,2.31302652,2.703956647
TNFRSF13C,2.311783372,2.172805708
GPR110,2.310406269,2.471523471
AC104655.3,2.3091363,3.057042006
TTYH1,2.307193093,3.561462398
PRSS21,2.305850521,2.551658424
LRRC4C,2.303653642,5.782516056
C1orf116,2.302653794,4.107348966
GS1-24F4.2,2.300387338,2.121316408
RP11-500B12.1,2.294360174,2.097174742
RP11-309M23.1,2.292681372,5.265840347
INSRR,2.289234013,2.230160559
DCHS2,2.283788075,7.030584088
RP11-290F5.1,2.282092387,1.791679731
AC087491.2,2.281797838,3.500409133
SAA4,2.279854886,6.49757288
CHRM1,2.27489384,1.863524672
B3GALT5,2.274599838,1.376973343
NALCN,2.273789966,5.465973894
AK5,2.273628198,3.586281235
AC139666.1,2.270749472,5.518557371
WNK2,2.269753392,3.862057521
ICAM5,2.264302638,1.902868588
EGF,2.261859468,1.528934739
KRT74,2.260248094,2.645358052
UGT8,2.260118576,5.446116973
EFCAB1,2.259455004,6.196542884
DSG3,2.250078456,6.28567024
LY6D,2.243039217,2.237669762
TP73,2.237713897,1.731743492
KRT17,2.233136453,1.643440595
CELF5,2.227885919,4.850780887
LINC00327,2.226433979,3.512222677
HAS3,2.225022833,1.677835326
CLEC4F,2.224371275,2.172805708
AC005152.2,2.222176027,5.373659633
RP11-464C19.3,2.221602433,5.104025268
GLB1L3,2.220151201,1.716008882
NTRK1,2.217763934,2.896889994
GPR114,2.215198434,3.174331809
NKX6-1,2.20513708,1.585279167
SAMD5,2.20269857,5.221125528
WNT10A,2.202596646,3.561462398
STX19,2.202472587,2.906333568
PAK7,2.194159012,5.478861916
TMEM61,2.1880349,2.665283942
ACTBL2,2.184953414,1.525821746
COL17A1,2.18401768,5.338187314
NPM2,2.172653173,5.427128398
ZNF648,2.170866841,3.131117617
RASL10A,2.170360791,2.719741778
C8orf80,2.165925999,4.186419011
C8orf85,2.155281817,4.206209615
FAM167A,2.155132011,2.921373195
RP11-12C17.2,2.151111419,2.015183313
CTC-327F10.4,2.149474719,1.31456577
CCL28,2.146669969,3.561462398
RP4-740C4.4,2.129410563,1.905559409
SLC39A2,2.128151921,2.172047277
PITX1,2.123321195,3.380288032
AC007461.2,2.120441432,1.818450689
PODNL1,2.118892759,5.467245621
PART1,2.111668776,4.903089987
IFFO2,2.10236062,1.791679731
EPCAM,2.098471816,3.86045778
CCDC163P,2.097137704,6.201349355
CDKN2A,2.095971964,4.696803943
CRISPLD1,2.092788983,2.737652869
DAPP1,2.091905772,3.257556898
RP11-58E21.3,2.091386976,3.266825213
PIK3C2G,2.090412649,5.369572125
FAM41C,2.076539436,1.70740292
RP3-416H24.1,2.076144716,1.898005201
CTC-327F10.5,2.074249255,1.902868588
SLC47A2,2.064084509,3.588065629
CLDN8,2.062625666,2.028673487
KRT7,2.060671667,1.620403539
GYLTL1B,2.058961269,4.625251654
CTD-2012M11.2,2.054835791,4.804100348
CTC-497E21.4,2.051213038,2.177995335
TGFA,2.044546832,4.970616222
EPHB3,2.043322122,2.859014558
KB-1552D7.2,2.040739917,1.443655435
PPAP2C,2.040365407,4.701146924
SCN2A,2.036138909,3.071185931
RP11-164P12.4,2.0353884,3.223226924
CCNJL,2.032426133,2.851382848
RP11-382A18.1,2.025809362,2.092891407
EPHB1,2.023465526,4.277366077
TNNI2,2.012245371,2.541087613
RP4-809F18.2,2.003752597,1.354397212
S100A14,2.003077341,1.986598896
C17orf66,2.001064224,1.555444037
CTD-2540L5.6,2.000912244,1.727694712
B4GALNT3,2.000542567,4.659555885
FAM55D,1.997917738,1.627133214
CAPZA3,1.995519546,2.946356957
KRT5,1.995302476,2.451375868
FUT3,1.994507058,1.814046155
CTD-3195I5.4,1.993807011,1.766447815
RP11-799O21.1,1.986805892,1.968350458
RP11-495P10.3,1.981397331,1.452652085
RP11-116G8.4,1.981292082,1.347559083
RIPK4,1.9788592,3.818102129
PLCZ1,1.975210487,2.746080497
KIT,1.972184629,3.263618639
KLF5,1.967249899,2.551658424
NIPAL1,1.966424689,4.245651664
KCNA3,1.96598503,3.68384926
KLC3,1.959845801,1.471251474
TNS4,1.95889851,3.28567024
FHAD1,1.9558239,3.881034618
RP11-626H12.1,1.954052274,1.856230652
AC008746.3,1.953884724,2.051900593
P2RY10,1.949770021,4.346787486
ENTPD2,1.948823597,2.786898409
LGR6,1.943552742,1.69676246
PALM3,1.937614592,1.72875211
CTD-2616J11.3,1.932382823,2.014296735
RP11-496I2.3,1.931113037,1.400421543
RP11-406A9.2,1.930161325,1.562795755
PTH2R,1.929620224,2.809361042
CCNYL2,1.923626032,2.280985267
VSNL1,1.923209552,4.187086643
CTD-2012M11.3,1.922706134,2.578154482
CXADR,1.92183232,4.333482019
RP11-761E20.1,1.914811415,1.303100698
WDR86,1.90600546,4.023650021
RNF39,1.904823762,2.58730985
RP11-408H20.1,1.904496912,2.755764702
CDC42BPG,1.900222024,3.088835997
PLCH2,1.882931935,2.044650631
RP11-7I15.3,1.878971717,4.154281982
SYT13,1.878863623,1.780910925
RP11-300E4.2,1.872804391,1.898005201
ABCC3,1.867888104,3.884742392
CTC-231O11.1,1.865514549,3.924522385
SOX9,1.865334788,1.497359814
SLC27A6,1.863574999,3.72845809
CHRM3-AS2,1.861877001,2.383054946
B3GAT1,1.85893674,2.952625432
GRB7,1.855183082,2.261888755
TMEM156,1.853858361,1.923558984
GPRIN2,1.849997506,2.611633221
ATP13A4,1.847753904,1.810218299
C1orf106,1.845769576,3.096764006
TCF7,1.844800572,4.052566278
ST6GALNAC5,1.841781064,1.715071275
RP11-5N23.3,1.841403042,1.393516405
AP001615.9,1.841359051,3.512222677
SFRP1,1.839094951,3.77358313
PLEKHB1,1.838621771,3.026126632
GPR174,1.83586576,3.135334689
SFN,1.829524757,3.10695711
CCNO,1.827935402,2.893412399
IL28RA,1.826538711,3.813880303
RP11-361I14.2,1.821696818,2.279241866
ST8SIA1,1.821182453,3.500728169
UTS2R,1.814034018,1.599060366
RFX6,1.810232606,1.402529444
CXXC11,1.809445339,2.122153207
PROX1,1.809351891,1.50180435
RP11-142C4.6,1.807378612,2.957489459
PNMAL1,1.806685404,3.076473108
HNF4G,1.797588906,3.521820357
IRX1,1.796932579,2.726792632
CCR2,1.796208,1.512585094
FAM183A,1.793474381,2.188186332
RP11-280K24.4,1.793362463,1.34253055
RP11-219G10.3,1.779904706,2.703956647
AC012074.2,1.776012945,1.977080243
AC073283.4,1.769988014,3.487647854
PCYT1B,1.754050379,1.302769916
ZNF750,1.749451625,2.591259188
AC131097.3,1.744461426,2.734204228
C1orf126,1.741159082,2.141925735
ZBP1,1.737979385,2.957489459
NSG1,1.736899807,2.868794978
CD3D,1.735127996,3.896668446
FOLH1,1.732517224,2.828249858
C4A,1.732375899,2.878571482
RP11-341G5.3,1.727856392,1.304950565
ETV4,1.727028993,3.329925857
AC064875.2,1.722079993,2.291810587
C4B,1.720319084,3.193513414
PDE4B,1.716740362,3.27630385
TTC22,1.714440782,3.024265899
CD207,1.714111662,1.444329
IL34,1.711737983,2.859005769
KCNMB1,1.70999978,2.837317926
ODZ2,1.705755623,2.177586784
CD2,1.704468711,4.346787486
TMPRSS6,1.700954091,1.874567469
POU2F3,1.695087629,1.640433294
ICOS,1.692505585,3.301232424
CNTN4-AS1,1.69132916,1.887295451
RP4-555D20.2,1.690286676,1.769975745
PDLIM4,1.690154776,2.322260954
RUNX3,1.690118563,3.4691986
SCG5,1.689258667,2.317459453
RP11-161M6.2,1.6854964,2.950140316
TRIM17,1.682680284,2.660850981
CD3G,1.677629935,1.428498282
RP11-379F4.4,1.675958543,2.017169927
UBASH3A,1.675387895,2.957489459
SPIB,1.672614288,2.017872877
RP11-430C7.4,1.67140134,2.40924764
PSD2,1.671061545,2.675781356
NKPD1,1.670413595,1.538352812
THEMIS,1.670355952,1.46741536
PDE1C,1.666273748,3.162686871
SEP3,1.665157725,3.416249354
KYNU,1.664467996,1.587059776
RP11-430B1.2,1.664302904,1.804574014
IQCA1,1.661035349,2.739096852
CCL22,1.660130223,2.884664462
BPI,1.650714394,2.208728482
CDH22,1.649654468,1.804574014
FRMD5,1.648545931,2.35775664
CD3E,1.642859045,4.123782159
BTBD11,1.641658193,2.847150799
FERMT1,1.641157088,2.711429757
DSC1,1.637157021,1.902368338
FAM176A,1.632829643,2.237669762
CKMT1A,1.631306629,1.611578704
KLHL13,1.62911416,2.697114326
CITED4,1.624654256,1.795187761
KRTCAP3,1.621623615,2.484538004
DUSP2,1.621616439,2.450084452
VDR,1.613691747,2.932540425
MEI1,1.613486809,3.01968932
TRPV4,1.613309009,2.367406164
XDH,1.61102869,1.943622985
C11orf92,1.608851548,2.149956314
IL7R,1.60790687,2.051900593
KB-1107E3.1,1.606768155,2.642427979
RP5-862P8.2,1.606040922,2.821622563
CCDC8,1.602894884,2.430458843
HOXC10,1.602119224,2.312665043
CD40LG,1.601843885,2.219355542
FZD7,1.601077991,2.768311024
MFI2,1.599311574,2.902866296
ANO1-AS1,1.597672313,2.721619595
AC010507.1,1.596407576,1.302769916
RP11-66B24.1,1.59555663,1.417646178
VSX1,1.593599652,1.438829874
BHLHE41,1.593326833,2.354802502
COL4A3,1.593108545,2.773513516
CD8A,1.592063671,3.065058391
RP11-284N8.3,1.591564364,2.484538004
ESYT3,1.590443448,2.852010973
NRTN,1.58925721,1.73402691
COL7A1,1.58749444,2.150192475
ANO1,1.585293497,2.715018006
ASTN1,1.583656228,4.647817482
C10orf90,1.581302149,2.950404848
NUP62CL,1.580692303,2.514963198
IRX4,1.580355896,1.378228115
CARD9,1.563395139,2.908582438
RP11-6O2.4,1.562390938,1.804574014
SH2D3A,1.55785114,1.832214559
CDKL2,1.552021565,1.884173493
FAM110C,1.55162883,2.586739475
HSH2D,1.550068625,2.932540425
FRMPD3,1.5485171,2.224187923
SYNM,1.547724508,2.163992287
RP11-165F24.3,1.538625545,1.457033991
TCEAL5,1.535453886,2.30742017
RP11-46C24.8,1.532106932,1.396560472
RP11-315O6.1,1.525275163,1.563748403
C15orf52,1.525120007,2.476880983
TNFRSF18,1.524061537,2.085606963
TPRG1-AS2,1.521710761,4.215382707
RP3-467K16.2,1.521215077,1.361262727
RNF165,1.518095593,2.341309249
PRSS45,1.516217515,2.304115737
ADAM28,1.508345184,2.960939013
RP11-453F18__B.1,1.508238854,2.325925801
GFI1,1.508144957,3.512222677
AL589743.1,1.507452839,2.565302743
NFKBIZ,1.505616094,2.737268252
CNTN4,1.504720229,2.189486895
LAMB3,1.502926242,2.26948581
RP11-253M7.1,1.498257698,1.968681757
FAM18A,1.49711259,1.704396267
RGS1,1.496935854,1.800833878
LRRN1,1.493141884,1.79066378
NCALD,1.492546791,2.218430443
COL8A2,1.492485977,2.16478824
LMTK3,1.490546806,2.208728482
AMIGO2,1.488731006,2.177695767
RP11-273G15.2,1.488225261,2.053595245
MYH13,1.48215516,1.379259509
F2RL1,1.482079859,1.868036154
RP4-555L14.5,1.477878894,1.931829766
LAMC2,1.476039829,2.312808171
AC097724.3,1.471829136,2.172805708
MAP7D2,1.471773357,5.515004764
FAM151A,1.46939796,1.433891494
ATP2A3,1.469339017,1.668143986
SCNN1A,1.460349422,1.980953078
CLCN1,1.459761344,1.370808021
CNN1,1.458240826,1.81017549
PLEKHG4B,1.456946662,2.490091483
FAM196B,1.455301564,1.772292472
SIRPG,1.452180085,1.5223097
RP11-290F5.2,1.451294454,1.332141643
EPHA1,1.444144015,1.50093099
CDHR1,1.431064149,2.605564956
TMPRSS13,1.429015461,2.014296735
VAX2,1.427410976,1.980953078
RP11-286B14.1,1.425953774,1.88595273
CX3CL1,1.419164665,1.488699452
GYG2,1.414227549,5.798602876
DNAH2,1.412187116,1.848492865
MRAP2,1.409207417,1.894136154
IL24,1.40818752,2.172805708
ITGB4,1.406354965,2.021431166
CHMP4C,1.404951729,1.866879941
Z83851.1,1.402533739,1.643038873
MST1R,1.402119524,2.1587207
BEGAIN,1.397785071,1.484558693
C11orf41,1.395500356,1.848492865
PVRL1,1.392413604,1.661338162
LY75,1.389968237,2.107823056
CXorf21,1.389064895,2.373826709
